name,icao,phone,belongs to,description,page
Bicester Airfield,EGDD,01869 327928,,,https://atcadvisor.com/bicester-airfield-atc-egdd
Biggin Hill,EGKB,01959 578500,Admin,Admin,https://atcadvisor.com/biggin-hill-atc-egkb
Biggin Hill,EGKB,01959 578525,ATC/Ops/Fuel,ATC/Ops/Fuel,https://atcadvisor.com/biggin-hill-atc-egkb
Biggin Hill,EGKB,01959 578552,Handling,Handling,https://atcadvisor.com/biggin-hill-atc-egkb
Birmingham,EGBB,0871 222 0072,General Enquiries,General Enquiries,https://atcadvisor.com/birmingham-atc-egbb
Birmingham,EGBB,07890 423014,Airfield Duty Manager,Airfield Duty Manager,https://atcadvisor.com/birmingham-atc-egbb
Birmingham,EGBB,0121 767 1260,ATC ATIS,ATC ATIS,https://atcadvisor.com/birmingham-atc-egbb
Birmingham,EGBB,0121 767 1210,ATC Watch Manager,ATC Watch Manager,https://atcadvisor.com/birmingham-atc-egbb
Blackbushe,EGLK,01252 471300,Ext 2 for ATSU/PPR,Ext 2 for ATSU/PPR,https://atcadvisor.com/blackbushe-atc-eglk
Blackbushe,EGLK,07710 364933,ATS mobile,ATS mobile,https://atcadvisor.com/blackbushe-atc-eglk
Blackpool,EGNH,01253 342734,ATC - option 4,ATC - option 4,https://atcadvisor.com/blackpool-atc-egnh
Blackpool,EGNH,01253 472527,ATC,ATC,https://atcadvisor.com/blackpool-atc-egnh
Blackpool,EGNH,01253 407070,Airport Authorised Handling Agent - Hangar 3,Airport Authorised Handling Agent - Hangar 3,https://atcadvisor.com/blackpool-atc-egnh
Bodmin Aerodrome,EGLA,01208 821419,,,https://atcadvisor.com/bodmin-aerodrome-atc-egla
Bognor Regis,EGKC,no number,,,https://atcadvisor.com/bognor-regis-atc-egkc
Boon Hill Farm Airstrip,EG19,no number,,,https://atcadvisor.com/boon-hill-farm-airstrip-atc-eg19
Boscombe Down,EGDM,+44 1980 664000,Base Ops,Base Ops,https://atcadvisor.com/boscombe-down-egdm
Boscombe Down,EGDM,+44 1980 663 051,,,https://atcadvisor.com/boscombe-down-egdm
Boscombe Down,EGDM,+44 1980 663 052,,,https://atcadvisor.com/boscombe-down-egdm
Bourn Airfield,EGSN,01954 719602,,,https://atcadvisor.com/bourn-airfield-atc-egsn
Bournemouth,EGHH,01202 364170,Airport Duty Manager,Airport Duty Manager,https://atcadvisor.com/bournemouth-atc-eghh
Breighton Aerodrome,EGBR,01757 289065,,,https://atcadvisor.com/breighton-aerodrome-atc-egbr
Brimpton Airfield,EGLP,no number,,,https://atcadvisor.com/brimpton-airfield-atc-eglp
Bristol,EGGD,01275 473712,ATC/TWR,ATC/TWR,https://atcadvisor.com/bristol-atc-eggd
Bristol,EGGD,01275 473713,ATC/TWR,ATC/TWR,https://atcadvisor.com/bristol-atc-eggd
Bristol,EGGD,01275 473714,ATC/TWR,ATC/TWR,https://atcadvisor.com/bristol-atc-eggd
Brize Norton,EGVN,+44 1993 896666,Base Ops,Base Ops,https://atcadvisor.com/brize-norton-egvn
Broadford Airfield,EGEI,01478 612727,,,https://atcadvisor.com/broadford-airfield-atc-egei
Bruntingthorpe Aerodrome,EG74,0116 279 9300,,,https://atcadvisor.com/bruntingthorpe-aerodrome-atc-eg74
Caernarfon,EGCK,01286 830800,,,https://atcadvisor.com/caernarfon-atc-egck
Cambridge,EGSC,01223 373213,ATC,ATC,https://atcadvisor.com/cambridge-atc-egsc
Cambridge,EGSC,01223 373717,GA,GA,https://atcadvisor.com/cambridge-atc-egsc
Cambridge,EGSC,01223 295631,ATIS,ATIS,https://atcadvisor.com/cambridge-atc-egsc
Cambridge,EGSC,01223 373535,Airport Operations,Airport Operations,https://atcadvisor.com/cambridge-atc-egsc
Cambridge,EGSC,01223 373214,Cambridge Jet Centre/FBO,Cambridge Jet Centre/FBO,https://atcadvisor.com/cambridge-atc-egsc
Campbeltown,EGEC,01586 553797,,,https://atcadvisor.com/campbeltown-atc-egec
Campbeltown,EGEC,01586 553338,AFS,AFS,https://atcadvisor.com/campbeltown-atc-egec
Cardiff,EGFF,01446 711111,Cardiff Airport Ltd,Cardiff Airport Ltd,https://atcadvisor.com/cardiff-atc-egff
Cardiff,EGFF,01446 712562,ATC,ATC,https://atcadvisor.com/cardiff-atc-egff
Cardiff Heliport,EGFC,029 2046 5880,,,https://atcadvisor.com/cardiff-heliport-atc-egfc
Carlisle,EGNC,01228 573641,Operations,Operations,https://atcadvisor.com/carlisle-atc-egnc
Chalgrove,EGLJ,01865 892200,,,https://atcadvisor.com/chalgrove-atc-eglj
Challock Airfield,EGKE,01233 740274,,,https://atcadvisor.com/challock-airfield-atc-egke
Cheltenham Heliport,EGBC,01202 835385,Administration,Administration,https://atcadvisor.com/cheltenham-heliport-atc-egbc
Cheltenham Heliport,EGBC,01202 098013,ATC,ATC,https://atcadvisor.com/cheltenham-heliport-atc-egbc
Chichester/Goodwood,EGHR,01243 755061,ATS,ATS,https://atcadvisor.com/chichester-goodwood-atc-eghr
Chichester/Goodwood,EGHR,07966 314630,ATS Mobile,ATS Mobile,https://atcadvisor.com/chichester-goodwood-atc-eghr
Chichester/Goodwood,EGHR,01243 755060,GRRC Admin,GRRC Admin,https://atcadvisor.com/chichester-goodwood-atc-eghr
Chichester/Goodwood,EGHR,01243 755066,Goodwood Flying School,Goodwood Flying School,https://atcadvisor.com/chichester-goodwood-atc-eghr
Chichester/Goodwood,EGHR,01243 755064,Engineering,Engineering,https://atcadvisor.com/chichester-goodwood-atc-eghr
Clacton Airfield,EGSQ,no number,,,https://atcadvisor.com/clacton-airfield-atc-egsq
Coal Aston Airfield,EGCA,no number,,,https://atcadvisor.com/coal-aston-airfield-atc-egca
Colerne Airfield,EGUO,01225 743240,,,https://atcadvisor.com/colerne-airfield-atc-eguo
Coll,EGEL,01631 572910,Admin/PPR,Admin/PPR,https://atcadvisor.com/coll-atc-egel
Colonsay,EGEY,01631 572910,Administration/PPR,Administration/PPR,https://atcadvisor.com/colonsay-atc-egey
Compton Abbas,EGHA,01747 811767,,,https://atcadvisor.com/compton-abbas-atc-egha
Coningsby,EGXC,+44 1526 347716,Base Ops,Base Ops,https://atcadvisor.com/coningsby-egxc
Coningsby,EGXC,01526 347443,ATC,ATC,https://atcadvisor.com/coningsby-egxc
Cosford,EGWC,+44 1902 372000,Base Ops,Base Ops,https://atcadvisor.com/cosford-egwc
Coventry,EGBE,02476 308600,Administration,Administration,https://atcadvisor.com/coventry-atc-egbe
Coventry,EGBE,02476 511738,ATS,ATS,https://atcadvisor.com/coventry-atc-egbe
Coventry,EGBE,02476 308601,Handling,Handling,https://atcadvisor.com/coventry-atc-egbe
Coventry,EGBE,07904 639092,Handling - Mobile,Handling - Mobile,https://atcadvisor.com/coventry-atc-egbe
Cranfield,EGTC,01234 758150,Airport Administration,Airport Administration,https://atcadvisor.com/cranfield-atc-egtc
Cranfield,EGTC,01234 750005,ATC,ATC,https://atcadvisor.com/cranfield-atc-egtc
Cranfield,EGTC,01234 758114,Aircraft Handling,Aircraft Handling,https://atcadvisor.com/cranfield-atc-egtc
Cranfield,EGTC,01234 754562,Airport Operations,Airport Operations,https://atcadvisor.com/cranfield-atc-egtc
Cranfield,EGTC,01234 758151,Airport Accounts,Airport Accounts,https://atcadvisor.com/cranfield-atc-egtc
Cranwell,EGYD,+44 1400 261201,Base Ops,Base Ops,https://atcadvisor.com/cranwell-egyd
Crosland Moor Airfield,EGND,07956 362951,,,https://atcadvisor.com/crosland-moor-airfield-atc-egnd
Crowfield Airfield,EGSO,01449 711017,,,https://atcadvisor.com/crowfield-airfield-atc-egso
Culdrose,EGDR,01326 573589,Ops,Ops,https://atcadvisor.com/culdrose-egdr
Culdrose,EGDR,01326 552415,Air Ops,Air Ops,https://atcadvisor.com/culdrose-egdr
Culter Heliport,EGEA,no number,,,https://atcadvisor.com/culter-heliport-atc-egea
Cumbernauld,EGPG,01236 722100,Aerodrome,Aerodrome,https://atcadvisor.com/cumbernauld-atc-egpg
Cumbernauld,EGPG,01236 722822,ATS,ATS,https://atcadvisor.com/cumbernauld-atc-egpg
Damyns Hall Aerodrome,EGML,07496 539206,,,https://atcadvisor.com/damyns-hall-aerodrome-atc-egml
Deanland Lewes Airfield,EGKL,no number,,,https://atcadvisor.com/deanland-lewes-airfield-atc-egkl
Denham,EGLD,01895 832161,ATC,ATC,https://atcadvisor.com/denham-atc-egld
Denham,EGLD,01895 832060,Administration,Administration,https://atcadvisor.com/denham-atc-egld
Derby,EGBD,01283 733803,,,https://atcadvisor.com/derby-atc-egbd
Dishforth Airfield,EGXD,Check website,,,https://atcadvisor.com/dishforth-airfield-atc-egxd
Doncaster Sheffield,EGCN,01302 625021,Airfield Operations,Airfield Operations,https://atcadvisor.com/doncaster-sheffield-atc-egcn
Doncaster Sheffield,EGCN,01302 625022,Airfield Operations,Airfield Operations,https://atcadvisor.com/doncaster-sheffield-atc-egcn
Doncaster Sheffield,EGCN,01302 625642,ATC,ATC,https://atcadvisor.com/doncaster-sheffield-atc-egcn
Doncaster Sheffield,EGCN,0871 220 2210,Terminal Services,Terminal Services,https://atcadvisor.com/doncaster-sheffield-atc-egcn
Dundee,EGPN,01382 643242,General Enquiries,General Enquiries,https://atcadvisor.com/dundee-atc-egpn
Dundee,EGPN,01382 662220,ATC,ATC,https://atcadvisor.com/dundee-atc-egpn
Dundee,EGPN,01382 662233,Fuel,Fuel,https://atcadvisor.com/dundee-atc-egpn
Dundee,EGPN,01382 662200,Administration and Ground Handling,Administration and Ground Handling,https://atcadvisor.com/dundee-atc-egpn
Dundee,EGPN,01382 662222,ATIS,ATIS,https://atcadvisor.com/dundee-atc-egpn
Dunkeswell,EGTU,01404 891643,Aerodrome,Aerodrome,https://atcadvisor.com/dunkeswell-atc-egtu
Dunkeswell,EGTU,01404 891271,Licensee,Licensee,https://atcadvisor.com/dunkeswell-atc-egtu
Dunsfold Aerodrome,EGTD,01483 200900,,,https://atcadvisor.com/dunsfold-aerodrome-atc-egtd
Duxford,EGSU,01223 833376,ATC,ATC,https://atcadvisor.com/duxford-atc-egsu
Duxford,EGSU,01223 835000 Ext 7236,Switchboard,Switchboard,https://atcadvisor.com/duxford-atc-egsu
Eaglescott Airfield,EGHU,01769 520404,,,https://atcadvisor.com/eaglescott-airfield-atc-eghu
Earls Colne,EGSR,01787 223943,,,https://atcadvisor.com/earls-colne-atc-egsr
East Midlands,EGNX,"01332 850393
0808 1697032",,,https://atcadvisor.com/east-midlands-atc-egnx
East Midlands,EGNX,01332 852993,ATC,ATC,https://atcadvisor.com/east-midlands-atc-egnx
Eday,EGED,01856 873535,,,https://atcadvisor.com/eday-atc-eged
Edinburgh,EGPH,0870 040 0007,EAL,EAL,https://atcadvisor.com/edinburgh-atc-egph
Edinburgh,EGPH,0131 344 3139,Airfield Operations,Airfield Operations,https://atcadvisor.com/edinburgh-atc-egph
Edinburgh,EGPH,0131 348 4823,ATIS,ATIS,https://atcadvisor.com/edinburgh-atc-egph
Edinburgh,EGPH,0131 348 4828,ATC,ATC,https://atcadvisor.com/edinburgh-atc-egph
Edinburgh,EGPH,0131 348 4815,ATC Administration,ATC Administration,https://atcadvisor.com/edinburgh-atc-egph
Elmsett Airfield,EGST,01449 744685,,,https://atcadvisor.com/elmsett-airfield-atc-egst
Elstree,EGTR,020 8953 7480,,,https://atcadvisor.com/elstree-atc-egtr
Enniskillen/St Angelo,EGAB,028 6632 9000,,,https://atcadvisor.com/enniskillen-st-angelo-atc-egab
Enstone Airfield,EGTN,01608 677208,,,https://atcadvisor.com/enstone-airfield-atc-egtn
Exeter,EGTE,01392 367433,Airfield Ops,Airfield Ops,https://atcadvisor.com/exeter-atc-egte
Exeter,EGTE,01392 354915,Flight Briefing,Flight Briefing,https://atcadvisor.com/exeter-atc-egte
Exeter,EGTE,01392 354995,XLR Executive Jet Centres,XLR Executive Jet Centres,https://atcadvisor.com/exeter-atc-egte
Exeter,EGTE,01392 354957,Ground Handling,Ground Handling,https://atcadvisor.com/exeter-atc-egte
Exeter,EGTE,01392 354917,Training Slots,Training Slots,https://atcadvisor.com/exeter-atc-egte
Fair Isle,EGEF,01595 760224,,,https://atcadvisor.com/fair-isle-atc-egef
Fairford,EGVA,01285 712000,Mil,Mil,https://atcadvisor.com/fairford-egva
Fairford,EGVA,01285 712000,Civ,Civ,https://atcadvisor.com/fairford-egva
Fairoaks,EGTF,01276 857700,Administration,Administration,https://atcadvisor.com/fairoaks-atc-egtf
Fairoaks,EGTF,01276 857300,A/G Station,A/G Station,https://atcadvisor.com/fairoaks-atc-egtf
Farnborough,EGLF,01252 526017,ATC - Visual,ATC - Visual,https://atcadvisor.com/farnborough-atc-eglf
Farnborough,EGLF,01252 526015,ATC - Radar,ATC - Radar,https://atcadvisor.com/farnborough-atc-eglf
Farnborough,EGLF,01252 379002,Farnborough Airport Ops,Farnborough Airport Ops,https://atcadvisor.com/farnborough-atc-eglf
Farthing Corner Airfield,EGMF,01634 264011,,,https://atcadvisor.com/farthing-corner-airfield-atc-egmf
Fenland,EGCL,01406 540330,Club House and ATC - Weekends only,Club House and ATC - Weekends only,https://atcadvisor.com/fenland-atc-egcl
Fenland,EGCL,01406 540461,Flying School,Flying School,https://atcadvisor.com/fenland-atc-egcl
Feshiebridge Glider Field,EGZL,no number,,,https://atcadvisor.com/feshiebridge-glider-field-atc-egzl
Fife Airport,EGPJ,01592 610436,,,https://atcadvisor.com/fife-airport-atc-egpj
Fleetlands,EGVF,02392 545515,Base Ops,Base Ops,https://atcadvisor.com/fleetlands-egvf
Fowlmere Airfield,EGMA,01763 208281,,,https://atcadvisor.com/fowlmere-airfield-atc-egma
Full Sutton Airfield,EGNU,01759 372717,,,https://atcadvisor.com/full-sutton-airfield-atc-egnu
Glasgow,EGPF,0344 481 5555,Glasgow Airport Ltd,Glasgow Airport Ltd,https://atcadvisor.com/glasgow-atc-egpf
Glasgow,EGPF,0141 840 8029,ATC,ATC,https://atcadvisor.com/glasgow-atc-egpf
Glasgow,EGPF,0141 840 8000,NATS Ltd,NATS Ltd,https://atcadvisor.com/glasgow-atc-egpf
Glasgow,EGPF,0141 848 4141,Airfield Operations,Airfield Operations,https://atcadvisor.com/glasgow-atc-egpf
Glasgow City Heliport,EGEG,no number,,,https://atcadvisor.com/glasgow-city-heliport-atc-egeg
Gloucestershire,EGBJ,01452 857700 Ext 223,Ops/ATC,Ops/ATC,https://atcadvisor.com/gloucestershire-atc-egbj
Goodwood Racecourse Heliport,EGKG,01243 755066,,,https://atcadvisor.com/goodwood-racecourse-heliport-atc-egkg
Great Yarmouth - North Denes Heliport,EGSD,01493 272272,,,https://atcadvisor.com/great-yarmouth-north-denes-heliport-atc-egsd
Guernsey,EGJB,01481 227766,General,General,https://atcadvisor.com/guernsey-atc-egjb
Halton,EGWN,01296 623535,Mil,Mil,https://atcadvisor.com/halton-egwn
Halton,EGWN,01296 623535,Civ,Civ,https://atcadvisor.com/halton-egwn
Haverfordwest,EGFE,01437 765283 PPR,Aerodrome,Aerodrome,https://atcadvisor.com/haverfordwest-atc-egfe
Hawarden,EGNR,01244 522012,ATC,ATC,https://atcadvisor.com/hawarden-atc-egnr
Henstridge Airfield,EGHS,01963 364231,,,https://atcadvisor.com/henstridge-airfield-atc-eghs
Hereford,EGVH,01432 376222,Base Ops,Base Ops,https://atcadvisor.com/hereford-egvh
Hethel Airport,EGSK,Check website,,,https://atcadvisor.com/hethel-airport-atc-egsk
Holyhead Heliport,EGCH,no number,,,https://atcadvisor.com/holyhead-heliport-atc-egch
Honington,EGXH,95991 6069,Mil,Mil,https://atcadvisor.com/honington-egxh
Honington,EGXH,01359 236069,Civ,Civ,https://atcadvisor.com/honington-egxh
Honington,EGXH,95991 7329,Airfield Warden,Airfield Warden,https://atcadvisor.com/honington-egxh
Hullavington Airfield,EGDV,no number,,,https://atcadvisor.com/hullavington-airfield-atc-egdv
Humberside,EGNJ,01652 688456,Administration,Administration,https://atcadvisor.com/humberside-atc-egnj
Humberside,EGNJ,01652 682022,ATC,ATC,https://atcadvisor.com/humberside-atc-egnj
Humberside,EGNJ,01652 682020,ATIS,ATIS,https://atcadvisor.com/humberside-atc-egnj
Humberside,EGNJ,07718 524072,Terminal Supervisor during operating hours,Terminal Supervisor during operating hours,https://atcadvisor.com/humberside-atc-egnj
Inverness,EGPE,01667 464000,Administration,Administration,https://atcadvisor.com/inverness-atc-egpe
Inverness,EGPE,01667 464276,ATC,ATC,https://atcadvisor.com/inverness-atc-egpe
Inverness,EGPE,01667 464255,MET,MET,https://atcadvisor.com/inverness-atc-egpe
Islay,EGPI,01496 302361,,,https://atcadvisor.com/islay-atc-egpi
Isle Of Man,EGNS,01624 821600,Airport Administration,Airport Administration,https://atcadvisor.com/isle-of-man-atc-egns
Isle Of Man,EGNS,01624 827546,ATC,ATC,https://atcadvisor.com/isle-of-man-atc-egns
Isle Of Man,EGNS,01624 821641,MET Office,MET Office,https://atcadvisor.com/isle-of-man-atc-egns
Isle Of Man,EGNS,01624 648110,Customs and Immigration,Customs and Immigration,https://atcadvisor.com/isle-of-man-atc-egns
Isle of Wight/Sandown Airport,EGHN,01983 716926,,,https://atcadvisor.com/isle-of-wight-sandown-airport-atc-eghn
Jersey,EGJJ,01534 446008,Administration,Administration,https://atcadvisor.com/jersey-atc-egjj
Jersey,EGJJ,01534 446086,ATC,ATC,https://atcadvisor.com/jersey-atc-egjj
Jersey,EGJJ,01534 446301,ATIS,ATIS,https://atcadvisor.com/jersey-atc-egjj
Jersey,EGJJ,01534 446080,Flight Planning,Flight Planning,https://atcadvisor.com/jersey-atc-egjj
Kemble,EGBP,01285 771177,Kemble Ops,Kemble Ops,https://atcadvisor.com/kemble-atc-egbp
Kenley,EGKN,01400 264520,,,https://atcadvisor.com/kenley-egkn
Kirknewton,EGKT,01400 264520,,,https://atcadvisor.com/kirknewton-egkt
Kirkwall,EGPA,01856 872421,Aerodrome,Aerodrome,https://atcadvisor.com/kirkwall-atc-egpa
Kirkwall,EGPA,01856 886206,ATC,ATC,https://atcadvisor.com/kirkwall-atc-egpa
Kirkwall,EGPA,01856 302845,Fuel,Fuel,https://atcadvisor.com/kirkwall-atc-egpa
Kirkwall,EGPA,01856 878476,ATIS - H24,ATIS - H24,https://atcadvisor.com/kirkwall-atc-egpa
Lakenheath,EGUL,01638 522000,Mil,Mil,https://atcadvisor.com/lakenheath-egul
Lakenheath,EGUL,01638 522000,Civ,Civ,https://atcadvisor.com/lakenheath-egul
Lakenheath,EGUL,01638 522930,RAPCON,RAPCON,https://atcadvisor.com/lakenheath-egul
Land's End,EGHC,01736 788771,Operator,Operator,https://atcadvisor.com/lands-end-atc-eghc
Land's End,EGHC,01736 788944,ATC,ATC,https://atcadvisor.com/lands-end-atc-eghc
Lasham Airfield,EGHL,01256 384900,,,https://atcadvisor.com/lasham-airfield-atc-eghl
Lashenden/Headcorn,EGKH,01622 890226,,,https://atcadvisor.com/lashenden-headcorn-atc-egkh
Lashenden/Headcorn,EGKH,01622 890236,Outside normal Aerodrome hours,Outside normal Aerodrome hours,https://atcadvisor.com/lashenden-headcorn-atc-egkh
Lee-on-solent,EGHF,01329 551060,,,https://atcadvisor.com/lee-on-solent-atc-eghf
Lee-on-solent,EGHF,01329 824751,Finance,Finance,https://atcadvisor.com/lee-on-solent-atc-eghf
Leeds Bradford,EGNM,0113 391 3285,Administration,Administration,https://atcadvisor.com/leeds-bradford-atc-egnm
Leeds Bradford,EGNM,0113 391 3282,ATC,ATC,https://atcadvisor.com/leeds-bradford-atc-egnm
Leeds Bradford,EGNM,0113 391 3231,Airside Operations Unit,Airside Operations Unit,https://atcadvisor.com/leeds-bradford-atc-egnm
Leeds East,EGCM,01937 534197,Ops/Fuel,Ops/Fuel,https://atcadvisor.com/leeds-east-atc-egcm
Leeds East,EGCM,07541 226316,Ops - Mobile,Ops - Mobile,https://atcadvisor.com/leeds-east-atc-egcm
Leeds East Airport,EGXG,01937 534194,,,https://atcadvisor.com/leeds-east-airport-atc-egxg
Leeds Heliport,EGNP,0113 250 0588,,,https://atcadvisor.com/leeds-heliport-atc-egnp
Leeming,EGXE,01677 457210 x7749,Ops,Ops,https://atcadvisor.com/leeming-egxe
Leeming,EGXE,01677 458139,,,https://atcadvisor.com/leeming-egxe
Leicester,EGBG,0116 2592360,,,https://atcadvisor.com/leicester-atc-egbg
Lerwick/Tingwall,EGET,01595 840306,Visual Control Room,Visual Control Room,https://atcadvisor.com/lerwick-tingwall-atc-eget
Lerwick/Tingwall,EGET,01595 744481,Duty FISO,Duty FISO,https://atcadvisor.com/lerwick-tingwall-atc-eget
Lerwick/Tingwall,EGET,01806 244264,Accountable Manager,Accountable Manager,https://atcadvisor.com/lerwick-tingwall-atc-eget
Leuchars,EGQL,01334 837000,Mil,Mil,https://atcadvisor.com/leuchars-egql
Leuchars,EGQL,01334 837000,Civ,Civ,https://atcadvisor.com/leuchars-egql
Little Gransden Airfield,EGMJ,07785 538317,,,https://atcadvisor.com/little-gransden-airfield-atc-egmj
Little Rissington,EGVL,01400 264520,,,https://atcadvisor.com/little-rissington-egvl
Liverpool,EGGP,0151 907 1541,1542,1542,https://atcadvisor.com/liverpool-atc-eggp
Liverpool,EGGP,0151 907 1551,Airport Operations Centre/PPR,Airport Operations Centre/PPR,https://atcadvisor.com/liverpool-atc-eggp
Llanbedr Airport,EGFR,01341 429252,,,https://atcadvisor.com/llanbedr-airport-atc-egfr
London City,EGLC,01489 571177,ATC,ATC,https://atcadvisor.com/london-city-atc-eglc
London City,EGLC,020 7646 0000,Administration,Administration,https://atcadvisor.com/london-city-atc-eglc
London Gatwick,EGKK,0344 892 0322,Gatwick Airport Ltd,Gatwick Airport Ltd,https://atcadvisor.com/london-gatwick-atc-egkk
London Gatwick,EGKK,01293 601031,ATC,ATC,https://atcadvisor.com/london-gatwick-atc-egkk
London Heathrow,EGLL,08700 000123,HAL,HAL,https://atcadvisor.com/london-heathrow-atc-egll
London Heathrow,EGLL,020 8750 2636,NATS Ltd,NATS Ltd,https://atcadvisor.com/london-heathrow-atc-egll
London Heliport,EGLW,020 7228 0181,The London Heliport Ltd,The London Heliport Ltd,https://atcadvisor.com/london-heliport-atc-eglw
London Luton,EGGW,01582 395229,NATS Ltd,NATS Ltd,https://atcadvisor.com/london-luton-atc-eggw
London Luton,EGGW,01582 395029,NATS Ltd - ATC Watch Manager,NATS Ltd - ATC Watch Manager,https://atcadvisor.com/london-luton-atc-eggw
London Luton,EGGW,01582 395451,Airport Manager,Airport Manager,https://atcadvisor.com/london-luton-atc-eggw
London Luton,EGGW,01582 395525,Operations,Operations,https://atcadvisor.com/london-luton-atc-eggw
London Luton,EGGW,01582 405100,Switchboard,Switchboard,https://atcadvisor.com/london-luton-atc-eggw
London Stansted,EGSS,0808 169 7031,STAL,STAL,https://atcadvisor.com/london-stansted-atc-egss
London Stansted,EGSS,01279 669328,NATS Ltd,NATS Ltd,https://atcadvisor.com/london-stansted-atc-egss
London Stansted,EGSS,01279 669325,ATIS,ATIS,https://atcadvisor.com/london-stansted-atc-egss
Londonderry/Eglinton,EGAE,028 7181 0784 Ext 201,Airport Switchboard,Airport Switchboard,https://atcadvisor.com/londonderry-eglinton-atc-egae
Londonderry/Eglinton,EGAE,028 7181 3300,Administration,Administration,https://atcadvisor.com/londonderry-eglinton-atc-egae
Londonderry/Eglinton,EGAE,028 7181 3322,Security,Security,https://atcadvisor.com/londonderry-eglinton-atc-egae
Londonderry/Eglinton,EGAE,028 7181 3336,Ground Handling,Ground Handling,https://atcadvisor.com/londonderry-eglinton-atc-egae
Londonderry/Eglinton,EGAE,028 7181 3314,ATC,ATC,https://atcadvisor.com/londonderry-eglinton-atc-egae
Londonderry/Eglinton,EGAE,028 7181 3338,Fuel,Fuel,https://atcadvisor.com/londonderry-eglinton-atc-egae
Long Marston Airfield,EGBL,no number,,,https://atcadvisor.com/long-marston-airfield-atc-egbl
Lossiemouth,EGQS,01343 812191,Base Ops,Base Ops,https://atcadvisor.com/lossiemouth-egqs
Lundy Island Airfield,EGZV,no number,,,https://atcadvisor.com/lundy-island-airfield-atc-egzv
Lydd,EGMD,01797 322400,Airport Switchboard,Airport Switchboard,https://atcadvisor.com/lydd-atc-egmd
Lydd,EGMD,01797 320881,ATC,ATC,https://atcadvisor.com/lydd-atc-egmd
Lydd,EGMD,01797 322422,MET,MET,https://atcadvisor.com/lydd-atc-egmd
Lydd,EGMD,528 2528,ATOTN,ATOTN,https://atcadvisor.com/lydd-atc-egmd
Manchester,EGCC,0161 209 2835,ATC,ATC,https://atcadvisor.com/manchester-atc-egcc
Manchester,EGCC,0161 489 3331,Airfield Operations Duty Manager,Airfield Operations Duty Manager,https://atcadvisor.com/manchester-atc-egcc
Manchester,EGCC,0808 169 7030,Manchester Airport PLC - General Enquiries,Manchester Airport PLC - General Enquiries,https://atcadvisor.com/manchester-atc-egcc
Manchester,EGCC,0161 493 1850,Airport Co-ordination Ltd - PPR  Mon-Fri; 0900-1700,Airport Co-ordination Ltd - PPR  Mon-Fri; 0900-1700,https://atcadvisor.com/manchester-atc-egcc
